DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Cutaneous psoriasis	1,363 European ancestry cases, 4,934 European ancestry controls	up to 2,969 European ancestry cases, up to European ancestry 14,384 controls	10q21.2	10	62778519	ADO	ALDH7A1P4 - ADO	ENSG00000234489	ENSG00000181915		37134	26201	rs7922314-C	rs7922314	0	7922314	intron_variant	1	0.9206	2E-6	5.698970004336019		1.33	NR	Illumina [11532644] (imputed)	N	cutaneous psoriasis measurement, psoriasis	http://www.ebi.ac.uk/efo/EFO_0007773, http://www.ebi.ac.uk/efo/EFO_0000676	GCST003269	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Cutaneous psoriasis	1,363 European ancestry cases, 4,934 European ancestry controls	up to 2,969 European ancestry cases, up to European ancestry 14,384 controls	17p11.2	17	22190937	FAM27L	UBBP4			ENSG00000290919			rs17052344-A	rs17052344	0	17052344	intron_variant	0	0.2261	4E-7	6.3979400086720375		1.18	NR	Illumina [11532644] (imputed)	N	cutaneous psoriasis measurement, psoriasis	http://www.ebi.ac.uk/efo/EFO_0007773, http://www.ebi.ac.uk/efo/EFO_0000676	GCST003269	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Cutaneous psoriasis	1,363 European ancestry cases, 4,934 European ancestry controls	up to 2,969 European ancestry cases, up to European ancestry 14,384 controls	6p21.1	6	41829160	USP49	USP49			ENSG00000164663			rs191667458-T	rs191667458	0	191667458	intron_variant	0	0.0106	8E-7	6.096910013008056		2.18	NR	Illumina [11532644] (imputed)	N	cutaneous psoriasis measurement, psoriasis	http://www.ebi.ac.uk/efo/EFO_0007773, http://www.ebi.ac.uk/efo/EFO_0000676	GCST003269	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Cutaneous psoriasis	1,363 European ancestry cases, 4,934 European ancestry controls	up to 2,969 European ancestry cases, up to European ancestry 14,384 controls	14q24.2	14	72249807	RGS6	RGS6			ENSG00000182732			rs12895275-G	rs12895275	0	12895275	intron_variant	0	0.0393	4E-7	6.3979400086720375		1.51	NR	Illumina [11532644] (imputed)	N	cutaneous psoriasis measurement, psoriasis	http://www.ebi.ac.uk/efo/EFO_0007773, http://www.ebi.ac.uk/efo/EFO_0000676	GCST003269	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Cutaneous psoriasis	1,363 European ancestry cases, 4,934 European ancestry controls	up to 2,969 European ancestry cases, up to European ancestry 14,384 controls	5q31.1	5	132660272	IL13	TH2LCRR, IL13			ENSG00000223442, ENSG00000169194			rs20541-G	rs20541	0	20541	missense_variant	0	NR	3E-8	7.522878745280337		1.237	NR	Illumina [11532644] (imputed)	N	cutaneous psoriasis measurement, psoriasis	http://www.ebi.ac.uk/efo/EFO_0007773, http://www.ebi.ac.uk/efo/EFO_0000676	GCST003269	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Cutaneous psoriasis	1,363 European ancestry cases, 4,934 European ancestry controls	up to 2,969 European ancestry cases, up to European ancestry 14,384 controls	5q33.1	5	151098757	TNIP1	TNIP1 - ANXA6	ENSG00000145901	ENSG00000197043		5180	1949	rs17728338-A	rs17728338	0	17728338	regulatory_region_variant	1	NR	2E-14	13.698970004336019		1.557	NR	Illumina [11532644] (imputed)	N	cutaneous psoriasis measurement, psoriasis	http://www.ebi.ac.uk/efo/EFO_0007773, http://www.ebi.ac.uk/efo/EFO_0000676	GCST003269	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Cutaneous psoriasis	1,363 European ancestry cases, 4,934 European ancestry controls	up to 2,969 European ancestry cases, up to European ancestry 14,384 controls	5q33.3	5	159290781	IL12B	UBLCP1 - IL12B	ENSG00000164332	ENSG00000113302		4745	23999	rs2082412-G	rs2082412	0	2082412	regulatory_region_variant	1	NR	1E-13	13.0		1.35	NR	Illumina [11532644] (imputed)	N	cutaneous psoriasis measurement, psoriasis	http://www.ebi.ac.uk/efo/EFO_0007773, http://www.ebi.ac.uk/efo/EFO_0000676	GCST003269	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Cutaneous psoriasis	1,363 European ancestry cases, 4,934 European ancestry controls	up to 2,969 European ancestry cases, up to European ancestry 14,384 controls	6p21.33	6	31306778	HLA, HLA-C	LINC02571 - HLA-B	ENSG00000256166	ENSG00000234745		5136	47094	rs10484554-T	rs10484554	0	10484554	regulatory_region_variant	1	NR	4E-207	206.39794000867204		3.304	NR	Illumina [11532644] (imputed)	N	cutaneous psoriasis measurement, psoriasis	http://www.ebi.ac.uk/efo/EFO_0007773, http://www.ebi.ac.uk/efo/EFO_0000676	GCST003269	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Cutaneous psoriasis	1,363 European ancestry cases, 4,934 European ancestry controls	up to 2,969 European ancestry cases, up to European ancestry 14,384 controls	6q23.3	6	137878280	TNFAIP3	TNFAIP3			ENSG00000118503			rs610604-G	rs610604	0	610604	intron_variant	0	0.3201	8E-11	10.096910013008056		1.23	NR	Illumina [11532644] (imputed)	N	cutaneous psoriasis measurement, psoriasis	http://www.ebi.ac.uk/efo/EFO_0007773, http://www.ebi.ac.uk/efo/EFO_0000676	GCST003269	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Cutaneous psoriasis	1,363 European ancestry cases, 4,934 European ancestry controls	up to 2,969 European ancestry cases, up to European ancestry 14,384 controls	17q11.2	17	27779649	NOS2	NOS2			ENSG00000007171			rs4795067-G	rs4795067	0	4795067	intron_variant	0	NR	8E-6	5.096910013008056		1.165	NR	Illumina [11532644] (imputed)	N	cutaneous psoriasis measurement, psoriasis	http://www.ebi.ac.uk/efo/EFO_0007773, http://www.ebi.ac.uk/efo/EFO_0000676	GCST003269	Genome-wide genotyping array
