DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2020-11-13	32887889	Rashkin SR	2020-09-04	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Kidney cancer	1,338 European ancestry cases, 410,350 European ancestry controls	NA	11q13.2	11	67704248		RPL37P2 - UNC93B5	ENSG00000239559	ENSG00000184795		21190	7454	rs117037288-T	rs117037288	0	117037288	regulatory_region_variant	1	NR	3E-7	6.522878745280337		5.0864697	NR	Affymetrix [7846216] (imputed)	N	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	GCST90011818	Genome-wide genotyping array
2020-11-13	32887889	Rashkin SR	2020-09-04	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Kidney cancer	1,338 European ancestry cases, 410,350 European ancestry controls	NA	8p23.1	8	6459947		MCPH1			ENSG00000147316			rs141862746-T	rs141862746	0	141862746	intron_variant	0	NR	1E-8	8.0		4.3271313	NR	Affymetrix [7846216] (imputed)	N	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	GCST90011818	Genome-wide genotyping array
2020-11-13	32887889	Rashkin SR	2020-09-04	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Kidney cancer	1,338 European ancestry cases, 410,350 European ancestry controls	NA	19q13.43	19	58014836		VN2R19P			ENSG00000235974			rs149401382-A	rs149401382	0	149401382	intron_variant	0	0.009974	1E-9	9.0		2.5043826	NR	Affymetrix [7846216] (imputed)	N	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	GCST90011818	Genome-wide genotyping array
2020-11-13	32887889	Rashkin SR	2020-09-04	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Kidney cancer	1,338 European ancestry cases, 410,350 European ancestry controls	NA	9q34.3	9	136368120		CARD9			ENSG00000187796			rs138040332-T	rs138040332	0	138040332	intron_variant	0	0.012757	1E-7	7.0		2.0981956	NR	Affymetrix [7846216] (imputed)	N	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	GCST90011818	Genome-wide genotyping array
2020-11-13	32887889	Rashkin SR	2020-09-04	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Kidney cancer	1,338 European ancestry cases, 410,350 European ancestry controls	NA	15q22.2	15	61208153		RORA			ENSG00000069667			rs112248293-A	rs112248293	0	112248293	intron_variant	0	0.024318	3E-9	8.522878745280337		1.8208302	NR	Affymetrix [7846216] (imputed)	N	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	GCST90011818	Genome-wide genotyping array
2020-11-13	32887889	Rashkin SR	2020-09-04	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Kidney cancer	1,338 European ancestry cases, 410,350 European ancestry controls	NA	3p22.3	3	33805371		PDCD6IP			ENSG00000170248			rs556301564-A	rs556301564	0	556301564	intron_variant	0	0.03237	7E-7	6.154901959985743		1.6479894	NR	Affymetrix [7846216] (imputed)	N	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	GCST90011818	Genome-wide genotyping array
2020-11-13	32887889	Rashkin SR	2020-09-04	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Kidney cancer	1,338 European ancestry cases, 410,350 European ancestry controls	NA	7p22.3	7	2388319		KIF19BP			ENSG00000230914			rs73045247-G	rs73045247	0	73045247	intron_variant	0	0.041683	4E-7	6.3979400086720375		1.543448	NR	Affymetrix [7846216] (imputed)	N	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	GCST90011818	Genome-wide genotyping array
2020-11-13	32887889	Rashkin SR	2020-09-04	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Kidney cancer	1,338 European ancestry cases, 410,350 European ancestry controls	NA											chr10:83754296-C	chr10:83754296	0			1	NR	2E-8	7.698970004336019		1.4705882	NR	Affymetrix [7846216] (imputed)	N	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	GCST90011818	Genome-wide genotyping array
2020-11-13	32887889	Rashkin SR	2020-09-04	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Kidney cancer	1,338 European ancestry cases, 410,350 European ancestry controls	NA	8q21.13	8	81581494		FABP12			ENSG00000197416			rs2556575-G	rs2556575	0	2556575	intron_variant	0	0.797857	1E-7	7.0		1.3196094	NR	Affymetrix [7846216] (imputed)	N	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	GCST90011818	Genome-wide genotyping array
2020-11-13	32887889	Rashkin SR	2020-09-04	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32887889	Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.	Kidney cancer	1,338 European ancestry cases, 410,350 European ancestry controls	NA	11q13.3	11	69419887		LINC02956 - LINC02953	ENSG00000259854	ENSG00000255980		3055	5791	rs7939721-C	rs7939721	0	7939721	regulatory_region_variant	1	NR	5E-7	6.301029995663981		1.5567	NR	Affymetrix [7846216] (imputed)	N	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	GCST90011818	Genome-wide genotyping array
