DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2023-07-26	36804966	Zhang Q	2023-02-16	J Invest Dermatol	www.ncbi.nlm.nih.gov/pubmed/36804966	Identification of the BTN3A3 gene as a molecule implicated in generalized pustular psoriasis in a Chinese population.	Generalized pustular psoriasis	161 Chinese Han ancestry cases, 364 Chinese Han ancestry controls	60 Chinese Han ancestry cases, 100 Chinese Han ancestry controls	2q14.1	2	113060943		IL36RN			ENSG00000136695			rs148755083-C	rs148755083	0	148755083	splice_donor_region_variant	0	0.02	1E-18	18.0		8.24	[4.89-13.9]	NR [431249]	N	psoriasis 14, pustular	http://purl.obolibrary.org/obo/MONDO_0013626	GCST90274859	Exome-wide sequencing
2023-07-26	36804966	Zhang Q	2023-02-16	J Invest Dermatol	www.ncbi.nlm.nih.gov/pubmed/36804966	Identification of the BTN3A3 gene as a molecule implicated in generalized pustular psoriasis in a Chinese population.	Generalized pustular psoriasis	161 Chinese Han ancestry cases, 364 Chinese Han ancestry controls	60 Chinese Han ancestry cases, 100 Chinese Han ancestry controls											HLA-C*06:02-?	HLA-C*06:02	0			1	NR	8E-12	11.096910013008056		2.98	[2.17-4.1]	NR [431249]	N	psoriasis 14, pustular	http://purl.obolibrary.org/obo/MONDO_0013626	GCST90274859	Exome-wide sequencing
2018-08-03	29031612	Hirata J	2017-10-12	J Invest Dermatol	www.ncbi.nlm.nih.gov/pubmed/29031612	Variants at HLA-A, HLA-C, and HLA-DQB1 Confer Risk of Psoriasis Vulgaris in Japanese.	Psoriasis vulgaris	282 Japanese ancestry cases, 426 Japanese ancestry controls	320 Japanese ancestry cases, 1,622 Japanese ancestry controls	5q33.1	5	151087628	TNIP1	TNIP1			ENSG00000145901			rs2233278-C	rs2233278	0	2233278	5_prime_UTR_variant	0	0.090	4E-10	9.397940008672037		1.96	[1.59-2.41]	Illumina [6369185] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST006036	Genome-wide genotyping array
2018-08-03	29031612	Hirata J	2017-10-12	J Invest Dermatol	www.ncbi.nlm.nih.gov/pubmed/29031612	Variants at HLA-A, HLA-C, and HLA-DQB1 Confer Risk of Psoriasis Vulgaris in Japanese.	Psoriasis vulgaris	282 Japanese ancestry cases, 426 Japanese ancestry controls	320 Japanese ancestry cases, 1,622 Japanese ancestry controls	6p21.33	6	31014767	HLA	MUC22			ENSG00000261272			rs9394026-G	rs9394026	0	9394026	intron_variant	0	0.197	7E-15	14.154901959985743		1.86	[1.59-2.18]	Illumina [6369185] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST006036	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	3p24.3	3	16954543	PLCL2	PLCL2			ENSG00000154822			rs4685408-G	rs4685408	0	4685408	intron_variant	0	NR	2E-7	6.698970004336019		1.12	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	3q12.3	3	101896982	NFKBIZ	NFKBIZ - RDUR	ENSG00000144802	ENSG00000214407		35960	43877	rs4683946-G	rs4683946	0	4683946	intron_variant	1	0.8029	7E-8	7.154901959985743		1.16	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	6p22.3	6	20678199	CDKAL1	CDKAL1			ENSG00000145996			rs4712528-C	rs4712528	0	4712528	intron_variant	0	0.7815	8E-11	10.096910013008056		1.16	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	10q22.2	10	73894114	CAMK2G	CAMK2G - PLAU	ENSG00000148660	ENSG00000122861		19523	15063	rs2675669-T	rs2675669	0	2675669	intergenic_variant	1	0.5718	4E-11	10.397940008672037		1.13	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	3p26.1	3	4978778	BHLHE40	BHLHE40-AS1			ENSG00000235831			rs12489120-C	rs12489120	0	12489120	intron_variant	0	NR	3E-7	6.522878745280337		1.3	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	9q31.2	9	108054739	KLF4	RPL31P43 - CHCHD4P2	ENSG00000213557	ENSG00000237360		14147	42693	rs10979182-A	rs10979182	0	10979182	intergenic_variant	1	NR	3E-6	5.522878745280337		1.106	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	9p21.1	9	32523739	DDX58	RIGI			ENSG00000107201			rs11795343-T	rs11795343	0	11795343	intron_variant	0	NR	6E-6	5.221848749616356		1.101	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	10q22.2	10	73839369	CAMK2G	CAMK2G			ENSG00000148660			rs2675662-A	rs2675662	0	2675662	intron_variant	0	NR	3E-8	7.522878745280337		1.138	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	11q22.3	11	110091706	ZC3H12C	RDX			ENSG00000137710			rs4561177-A	rs4561177	0	4561177	intron_variant	0	NR	9E-9	8.045757490560675		1.139	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	11q13.1	11	64329761	PRDX5	PRDX5 - CCDC88B	ENSG00000126432	ENSG00000168071		7950	10443	rs694739-A	rs694739	0	694739	intron_variant	1	NR	2E-9	8.698970004336019		1.139	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	20q13.13	20	49939692	RNF114	RNF114			ENSG00000124226			rs1056198-C	rs1056198	0	1056198	intron_variant	0	NR	2E-12	11.698970004336019		1.159	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	2p15	2	62324337	B3GNT2	RN7SL51P - RN7SL18P	ENSG00000239958	ENSG00000241625		61666	166841	rs10865331-A	rs10865331	0	10865331	intron_variant	1	0.38	9E-12	11.045757490560675		1.155	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	16p11.2	16	30993491	PRSS53, FBXL19	STX1B			ENSG00000099365			rs12445568-C	rs12445568	0	12445568	splice_region_variant	0	NR	5E-11	10.301029995663981		1.159	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
2016-10-14	26626624	Stuart PE	2015-11-28	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/26626624	Genome-wide Association Analysis of Psoriatic Arthritis and Cutaneous Psoriasis Reveals Differences in Their Genetic Architecture.	Psoriasis vulgaris	4,007 European ancestry cases, 4,934 European ancestry controls	up to 9,075 European ancestry cases, up to European ancestry 12,726 controls	10q22.3	10	79273128	ZMIZ1	ZMIZ1			ENSG00000108175			rs1250544-G	rs1250544	0	1250544	intron_variant	0	NR	1E-7	7.0		1.128	NR	Illumina [up to 11532644] (imputed)	N	psoriasis vulgaris	http://www.ebi.ac.uk/efo/EFO_1001494	GCST003268	Genome-wide genotyping array
